StationType	PANGAEA Sample ID	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	Latitude [degrees North]	Longitude [degrees East]	Sampling depth [m]	Station	Feature	Filter size	16S.miTag	0.8.5.Barcode	5.20.Barcode	20.180.Barcode	180.2000.Barcode	OG	0.8.5.OTU	5.20.OTU	20.180.OTU	180.2000.OTU	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	Ocean and sea regions (IHO General Sea Areas 1953) [MRGID registered at www.marineregions.com]	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com] 	Mean_Date [YY/MM/DD hh:mm]	Mean_Lat	Mean_Long	Mean_Depth [m]	Mean_Temperature [deg C]	Mean_Salinity [PSU]	Mean_Oxygen [umol/kg]	Mean_Nitrates[umol/L]	NO2 [umol/L]	PO4 [umol/L]	NO2NO3 [umol/L]	SI [umol/L]	AMODIS:PAR8d,Einsteins/m-2/d-1	Okubo-Weiss	Lyapunov_exp.	grad_SST_adv	retention	Mean Depth MLD Sigma [m]	Mean Depth Max Fluo [m]	Mean Depth Max N2 [m]	Mean Depth Max O2 [m]	Mean Depth Min O2 [m]	Mean Depth Nitracline [m]	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC - heterotrophs [cells/mL]	FC - autotrophs [cells/mL]	FC - bacteria [cells/mL]	FC - picoeukaryotes [cells/mL]	minimum generation time [h]
TARA_041_DCM	TARA_B100000287	TARA_041	2010-03-30T10:56	14.5536	70.0128	60	TARA_041	DCM	0.22-1.6	6.45	7.42788406	1.73018037	5.81979646	4.80939848	7.12	5.006912	0.76724616	2.94922236	2.31916452	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]	3/30/2010 8:46	14.56	70.01	58.2	27.1	36.5	148.3	-0.2	0.07	0.34	0.49	1.38	48.5	-0.16	0.03	0.43	21.64	5	65	57	30	422	75	2654	416	3901	3804	6.45	7.12	16485	0.733	491755	123011	614766	4463	11
TARA_064_DCM	TARA_B100000405	TARA_064	2010-07-08T06:21	-29.5333	37.9117	65	TARA_064	DCM	0.22-3	6.64	7.49153543	2.65281591	5.11627433	4.08404953	7.16	5.10959004	1.72138018	2.20460883	1.81912181	0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]	7/8/2010 5:19	-29.54	37.94	63.6	22.3	35.3	207.4	-0.1	0	0.08	0.02	1.75	15.4	0.52	0.08	1.5	1.28	71	52	161	609	562	424	2541	404	3452	3366	6.64	7.16	16260	0.739	480670	197050	677720	7162	9
TARA_030_DCM	TARA_A100001011	TARA_030	2009-12-15T15:23:37	33.9235	32.8118	70	TARA_030	DCM	0.22-1.6	6.56	7.19128906	5.36159411	4.9542409		7.14	4.66281262	2.80035294	2.34651731		0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	12/15/2009 16:17	33.93	32.77	69.1	19	39.3	218.1	0.3	0.01	0	0.02	0.67	14.7	-0.86	0.03		40.81	41	77	66	65	260	307	2393	375	3191	3170	6.56	7.14	12843	0.755	598682	48034	646716	669	15
TARA_052_DCM	TARA_B100000214	TARA_052	2010-05-17T11:42	-16.9534	53.9601	75	TARA_052	DCM	0.22-1.6	6.65	7.49377582	4.04013185	5.75668175	5.34548111	7.11	5.0679437	2.65850547	2.72057975	2.72216815	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(ISSG) Indian South Subtropical Gyre Province [MRGID:21472]	5/17/2010 15:34	-16.96	54.01	79	24.9	34.9	192.6	0.2	0.03	0.18	0.47	3.22	33.4	0.47	0.05	1.77	0	47	71	69	333	441	148	2558	398	3632	3553	6.65	7.11	15564	0.737	393152	153771	546924	3775	13
TARA_032_DCM	TARA_A100001037	TARA_032	2010-01-11T14:17	23.4183	37.245	80	TARA_032	DCM	0.22-1.6	6.55	7.48737719	6.42335836	5.16786533	5.27793943	7.2	5.38859525	3.70121055	2.75896503	2.81870268	0.22	1.6	Coastal Biome 	(RS) Red Sea [MRGID:4264]	(REDS) Red Sea, Persian Gulf Province [MRGID:21474]	1/11/2010 19:14	23.38	37.29	85.5	26.1	40.2	180	1.2	0.01	0.03	0.01	0.85	23.4		0		0	35	80	142	28	287	231	3146	505	4409	4349	6.55	7.2	17321	0.737	294828	29385	324213	374	12
TARA_042_DCM	TARA_B100000131	TARA_042	2010-04-04T09:50	5.9998	73.9067	80	TARA_042	DCM	0.22-1.6	6.47	7.62086459	4.94011432	7.45598601	4.71047331	7.11	5.31904844	2.79869911	5.05585573	2.44366674	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]	4/4/2010 9:05	6	73.9	79	27.7	35.1	132.8	0.6	0.15	0.34	1.39	3.2	41.6	-0.03	0.04		7.06	21	76	103	32	168	85	2545	407	3879	3662	6.47	7.11	15301	0.738		29694	29694	1333	12
TARA_085_DCM	TARA_B100000795	TARA_085	2011-01-06T19:34:21	-62.2231	-49.2139	90	TARA_085	DCM	0.22-3	5.87	5.2442203	3.14034731	4.71082206	2.02002347	7.15	3.37667727	1.43773969	2.95247966	0.79236435	0.22	3	Polar Biome	(SO) Southern Ocean [MRGID:1907]	(ANTA) Antarctic Province [MRGID:21502]	1/6/2011 20:36	-62.24	-49.18	87.4	-0.8	34.3	325.4	33.1	0.06	2.31	31	81.82	38.3	0	0	0.22	3.08	38	49	51	31	427	275	1823	284	2654	2594	5.87	7.15	10090	0.776	202364	0	202364	787	10
TARA_111_DCM	TARA_B100000579	TARA_111	2011-05-31T20:28:10	-16.9587	-100.6751	90	TARA_111	DCM	0.22-3	6.69	7.72665703	6.82546301	5.14194166	5.093284	7.1	5.44109428	4.17384355	2.62918338	2.78300371	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	5/31/2011 21:23	-16.96	-100.7	89	19.9	35.7	211.5	1.4	0.2	0.44	0.93	0.9	35.5	-0.05	0	1.04	69.36	67	83	80	29	301	248	2758	430	4020	3846	6.69	7.1	15057	0.738	603813	87283	691096	2476	12
TARA_072_DCM	TARA_B100000427	TARA_072	2010-10-05T15:35	-8.7296	-17.9604	100	TARA_072	DCM	0.22-3	6.7	7.43245832	4.69666391	4.38494724	4.06446527	7.17	5.33616924	2.19642931	2.21293423	1.72248617	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]	10/5/2010 12:42	-8.7	-17.94	95.4	24.1	36.6	194.4	0.2	0.01	0.14	0.04	1.32	40.4	0.04	0.02	1.02	0	75	97	98	29	270	132	3000	465	4373	4263	6.7	7.17	17195	0.735	302791	123447	426238	3263	14
TARA_122_DCM	TARA_B100000700	TARA_122	2011-07-28T17:15:56	-9.0063	-139.1394	115	TARA_122	DCM	0.22-3	6.8	7.05179196	5.87217406	4.51160019	4.77162985	7.31	5.00815832	2.72953292	2.05778375	2.52842655	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	7/28/2011 19:36	-8.98	-139.2	113.3	24.7	36.1	179.9	2.3	0.1	0.59	2.8	1.8	39.6	0	0.02		8.42	71	99	107	29	232	203	3284	512	4766	4571	6.8	7.31	19658	0.739	386471	83890	470361	1055	15
TARA_078_DCM	TARA_B100000530	TARA_078	2010-11-04T18:16:53	-30.1484	-43.2705	120	TARA_078	DCM	0.22-3	6.83	7.5949259		4.98485087	4.43621474	7.18	5.5224808		2.59441729	2.22825903	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]	11/4/2010 19:34	-30.15	-43.25	118.3	19.3	36.3	217.1	0.5	0.05	0	0.1	0.32		-0.04	0.08	1.91	14.53	34	113	41	317	409	436	3458	539	4628	4592	6.83	7.18	18431	0.731	421977	48836	470813	2505	12
TARA_076_DCM	TARA_B100000519	TARA_076	2010-10-16T16:58:37	-21.0292	-35.3498	150	TARA_076	DCM	0.22-3	6.86	7.40036064	4.33200509	4.09471348	4.15217669	7.32	5.260824	2.11544338	1.98472738	2.0833426	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]	10/16/2010 17:43	-21.05	-35.37	148	21.6	36.7	203.8	0.6	0.02	0.04	0	0.71		0.01	0.02	0.7	3.53	34	129	154	53	395	395	3993	595	6142	6034	6.86	7.32	21732	0.733	266887	126802	393689	3021	16
TARA_098_DCM	TARA_B100001029	TARA_098	2011-04-03T21:50:58	-25.826	-111.7294	188	TARA_098	DCM	0.22-3	6.47	2.81928539	2.58775588	4.8071455	5.43122166	7.1	1.35655766	1.08749391	2.30123566	2.73099857	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	4/4/2011 8:23	-25.85	-111.77	183.3	20.2	35.8	210.6	-0.7	0.02	0.1	0.05	0.35	44.6	-0.03	0.03	0.36	61.78	53	176	73	93	484	360	2717	430	3972	3844	6.47	7.1	14256	0.742	183522	85755	269276	420	13
