StationType	PANGAEA Sample ID	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	Latitude [degrees North]	Longitude [degrees East]	Sampling depth [m]	Station	Feature	Filter size	16S.miTag	0.8.5.Barcode	5.20.Barcode	20.180.Barcode	180.2000.Barcode	OG	0.8.5.OTU	5.20.OTU	20.180.OTU	180.2000.OTU	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	Ocean and sea regions (IHO General Sea Areas 1953) [MRGID registered at www.marineregions.com]	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com] 	Mean_Date [YY/MM/DD hh:mm]	Mean_Lat	Mean_Long	Mean_Depth [m]	Mean_Temperature [deg C]	Mean_Salinity [PSU]	Mean_Oxygen [umol/kg]	Mean_Nitrates[umol/L]	NO2 [umol/L]	PO4 [umol/L]	NO2NO3 [umol/L]	SI [umol/L]	AMODIS:PAR8d,Einsteins/m-2/d-1	Okubo-Weiss	Lyapunov_exp.	grad_SST_adv	retention	Mean Depth MLD Sigma [m]	Mean Depth Max Fluo [m]	Mean Depth Max N2 [m]	Mean Depth Max O2 [m]	Mean Depth Min O2 [m]	Mean Depth Nitracline [m]	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC - heterotrophs [cells/mL]	FC - autotrophs [cells/mL]	FC - bacteria [cells/mL]	FC - picoeukaryotes [cells/mL]	minimum generation time [h]
TARA_122_SRF	TARA_B100001115	TARA_122	2011-07-26T17:10	-8.9971	-139.1963	5	TARA_122	SRF	0.22-3	6.58	6.95227865	4.7337847	4.52789771	4.99525885	7.13	4.14933091	2.16850449	2.2682524	2.23002452	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	7/26/2011 17:34	-8.99	-139.21	5.9	26.5	35.4	186.2	4	0.12	0.57	5.46	2.19	40.2	0	0.02		8.42	71	99	107	29	232	203	2417	397	3614	3506	6.58	7.13	16069	0.736		150974	150974	5770	13
TARA_123_SRF	TARA_B100000683	TARA_123	2011-07-31T17:20	-8.9068	-140.283	5	TARA_123	SRF	0.22-3	6.5	6.5031358	5.42102657	4.45084619	3.69200948	7.21	4.12087358	2.42616252	2.175184	1.8896456	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	7/31/2011 17:24	-8.91	-140.28	5.5	26.6	35.4	189.8	3.9	0.14	0.53	4.9	2.22	45.2	0.02	0.04		0	88	35	122	29	339	233	2819	464	4526	4335	6.5	7.21	19169	0.731	721664	31112	752776	10279	10
TARA_124_SRF	TARA_B100000674	TARA_124	2011-08-04T18:33	-9.1504	-140.5216	5	TARA_124	SRF	0.22-3	6.62	6.28404812	4.80810753	4.66179309	4.59650222	7.21	4.03277079	2.2153015	2.17454679	1.85697764	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	8/5/2011 0:27	-9.11	-140.58	9.9	26.5	35.4	190.7	5.1	0.16	0.63	6.18	2.52		0.02	0.04		0	92	33	115	31	241	187	2532	421	3812	3660	6.62	7.21	17533	0.738	705265	250340	955605	10669	13
TARA_125_SRF	TARA_B100001121	TARA_125	2011-08-08T17:33	-8.9111	-142.5571	5	TARA_125	SRF	0.22-3	6.67	7.1861693	4.08848919	4.39150704	4.30712861	7.17	4.44804712	1.728172	2.12908085	1.52642657	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	8/8/2011 17:38	-8.91	-142.56	5.5	26.8	35.4	187.3	5	0.19	0.56	3.73	1.8		-0.01	0	0.14	2.78	95	44	104	29	246	214	2530	413	3865	3776	6.67	7.17	17303	0.734	800561	146848	947408	5808	14
TARA_036_DCM	TARA_B100000035	TARA_036	2010-03-12T12:23	20.8222	63.5133	17	TARA_036	DCM	0.22-1.6	6.49	6.34512718	1.5559166	5.16032888	4.72757291	7.13	4.25400278	0.57297562	2.73777238	1.77968838	0.22	1.6	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(ARAB) Northwest Arabian Sea Upwelling Province [MRGID:21475]	3/12/2010 10:34	20.82	63.51	17.4	25.4	36.5	211.6	0.4	0.51	0.51	2.08	1.79	41.8	-0.03	0.07	0.23	18.83	7	21	23	28	378	88	2495	397	3653	3555	6.49	7.13	13952	0.747					13
TARA_038_DCM	TARA_B100000073	TARA_038	2010-03-15T11:18	19.0284	64.5126	25	TARA_038	DCM	0.22-1.6	6.47	6.65015798	5.20985615	4.39420839	4.31744797	7.17	4.4858152	2.59987318	2.1065605	2.21128811	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]	3/15/2010 9:32	19.03	64.62	25.3	25.5		154.7	1.2	0.7	0.42	1.86	1.63	46	0.01	0.07	0.16	1.08	11	32	108	32	487	123	2354	383	3314	3235	6.47	7.17	14995	0.745	1963051	279788	2242839	11930	9
TARA_039_DCM	TARA_B100000085	TARA_039	2010-03-18T11:33	18.5839	66.4727	25	TARA_039	DCM	0.22-1.6	6.51		3.50032696	4.73696882	4.52774064	7.14		2.21104825	2.56499516	2.184662	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]	3/18/2010 9:52	18.57	66.49	25.3	26.8	36.3	193	-0.6	0.02	0.26	0.09	1.28	45.9	0.33	0.03	1.63	2.14	9	35	83	29	555	115	2238	362	3181	3049	6.51	7.14	14680	0.744	703226	246739	949965	6045	11
TARA_065_DCM	TARA_B000000441	TARA_065	2010-07-12T11:03:22	-35.2421	26.3048	30	TARA_065	DCM	0.22-3	6.8	7.6602862	5.75689499			7.21	5.53722791	3.39649138			0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]	7/12/2010 11:25	-35.25	26.31	28.7	21.8		206.4						10.4	1.83	0.11	0.73	1.08	47	26	89	416	675		3402	530	5405	5221	6.8	7.21	18416	0.734	521106	64001	585107	6166	12
TARA_066_DCM	TARA_B000000477	TARA_066	2010-07-15T15:36:10	-34.8901	18.0459	30	TARA_066	DCM	0.22-3	6.66	7.27730541	4.09946025			7.14	5.09687099	2.20506251			0.22	3	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(BENG) Benguela Current Coastal Province [MRGID:21470]	7/15/2010 16:32	-34.89	18.07	28.6	15	35.3	240.4		0.26	0.37	3.23	2.47	13.1	0.01	0.05		0	90	22	104	29	433	106	2942	432	3902	3806	6.66	7.14	14522	0.745	526353	36479	562832	12356	11
TARA_109_DCM	TARA_B100000927	TARA_109	2011-05-12T22:15	2.0299	-84.5546	30	TARA_109	DCM	0.22-3	6.68	5.49173384	2.0564609	4.8529983		7.17	3.26920404	0.95986296	2.5528313		0.22	3	Coastal Biome 	(NPO) North Pacific Ocean [MRGID:1908]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]	5/13/2011 0:00	2.08	-84.52	29.8	26.5	34.3	203.1	3.9	0.11	0.5	4.6	3.2	51.7	0.01	0.02	2.22	11.36	9	28	42	28	380	61	2501	401	3567	3451	6.68	7.17	15374	0.743	824281	155101	979382	4968	13
